words;greetings;goodbye
тикет закрыт;0;0
добрый день;1;0
спасибо;0;0
за ожидание;0;0
у вас;0;0
добрый вечер;1;0
вы можете;0;0
в приложении;0;0
вам помочь;0;0
уточните пожалуйста;0;0
сейчас проверю;0;0
вас за;0;0
у меня;0;0
за обращение;0;0
спасибо за;0;0
на карту;0;0
по карте;0;0
ожидайте пожалуйста;0;0
благодарю за;0;0
благодарю вас;0;0
для вас;0;0
вас в;0;0
могут быть;0;0
укажите ваш;0;0
в курсе;0;0
пожалуйста укажите;0;0
держать вас;0;0
новостей банка;0;0
которые могут;0;0
могу вам;0;0
мы будем;0;0
курсе последних;0;0
последних новостей;0;0
банка которые;0;0
быть полезными;0;0
полезными для;0;0
будем держать;0;0
здравствуйте;1;0
вас остались;0;0
да;0;0
доброе утро;1;0
немного подождать;0;0
просьба немного;0;0
в разделе;0;0
сейчас проверим;0;0
в размере;0;0
ваш действующий;0;0
в отделение;0;0
отделение банка;0;0
спасибо вам;0;0
с карты;0;0
вам дня;0;1
я могу;0;0
действующий email;0;0
рабочих дней;0;0
всего доброго;0;1
комиссия за;0;0
проверю информацию;0;0
если вы;0;0
в банкомате;0;0
в отделении;0;0
в интернетбанке;0;0
была рада;0;0
хорошего дня;0;1
на сумму;0;0
рады помочь;0;0
по телефону;0;0
так же;0;0
в течение;0;0
файл;0;0
рада вам;0;0
удачного вам;0;1
вам за;0;0
номер телефона;0;0
доброй ночи;0;1
к сожалению;0;0
на карте;0;0
в месяц;0;0
отделении банка;0;0
я не;0;0
по номеру;0;0
xx;0;0
без комиссии;0;0
в банк;0;0
подскажите пожалуйста;0;0
хорошего вечера;0;1
вашу карту;0;0
не могу;0;0
денежных средств;0;0
мои деньги;0;0
карту в;0;0
от суммы;0;0
еще вопросы;0;0
остались еще;0;0
на сайте;0;0
open;0;0
благодарим вас;0;0
вашей карты;0;0
нет;0;0
хорошо;0;0
пожалуйста ожидайте;0;0
вы сможете;0;0
ок;0;0
длительное ожидание;0;0
не позднее;0;0
вам необходимо;0;0
обратиться в;0;0
проверим ожидайте;0;0
чем могу;0;0
вам нужно;0;0
обращение всего;0;0
пожалуйста подождите;0;0
за длительное;0;0
так как;0;0
банка открытие;0;0
информацию просьба;0;0
разделе мои;0;0
еще могу;0;0
пожалуйста у;0;0
